1;<Manuel Rosa de Oliveira Lino>;[Bioquímica, Economia, Engenharia Civil];[Estatística Sócio-Econômica, Lipídeos, Processos Construtivos]
17;<Rodrigo de Souza Vieira>;[Ciência da Computação, Engenharia Elétrica, Engenharia Mecânica, Geociências];[Automação Eletrônica de Processos Elétricos e Industriais, Circuitos Eletrônicos, Dinâmica dos Corpos Rígidos, Elásticos e Plásticos, Estática e Dinâmica Aplicada, Fundamentos Gerais de Projetos das Máquinas, Instrumentação Meteorológica, Máquinas, Motores e Equipamentos, Sistemas de Informação]
18;<Ronaldo dos Santos Mello>;[Ciência da Computação, Economia];[Arquitetura de Sistemas de Computação, Banco de Dados, Engenharia de Software, Information Retrieval, Linguagens de Programação, Métodos e Modelos Matemáticos, Econométricos e Estatísticos, Sistemas de Informação]
19;<Antonio Augusto Medeiros Fröhlich>;[Ciência da Computação];[Arquitetura de Sistemas de Computação, Computação Paralela, Engenharia de Software, Hardware, Software Básico, Teleinformática]
20;<Paulo Jose de Freitas Filho>;[Administração, Ciência da Computação, Engenharia Naval e Oceânica, Engenharia de Produção, Matemática, Probabilidade e Estatística];[Administração de Recursos Humanos, Análise de Custos, Análise de Risco em Gerência da Saúde, Aprendizagem Colaborativa, Arquitetura de Sistemas de Computação, Clusters, Computação Paralela e Distribuida, Custos da Construção de Sistemas Para a Perfuração e Completação de Poços de Petróleo, Custos de Construção Naval, Desempenho de Sistemas de Computação, Desempenho na Web, Engenharia de Software, Gerencia de Redes de Telecomunicações, Gerência Operacional, Gerência de Serviços Computacionais, Grid, Linguagens de Programação, Modelagem e Simulação, Modelos Analíticos e de Simulação, Modelos Probabilisticos, Planejamento de Instalações Industriais, Planejamento, Projeto e Controle de Sistemas de Produção, Processos Estocásticos e Teoria das Filas, Redes Neurais, Redes de Computadores, Redes de Telecomunicações, Simulação Discreta, Simulação de Sistemas, Sistemas Cliente Servidor, Sistemas Epecialistas, Tecnologias de Perfuração e Completação de Poços de Petróleo, Teleinformática, Tratamento da Incerteza]
21;<Patricia Della Méa Plentz>;[Ciência da Computação];[Análise de Algoritmos e Complexidade de Computação, Inteligência Artificial, Linguagens de Programação, Middleware, Sistemas Distribuidos e Computação Paralela, Sistemas Distribuídos, Sistemas de Informação, Sistemas de Tempo Real, Software Básico]
21;<José Mazzucco Junior>;[Ciência da Computação];[Hardware, Linguagens de Programação, Software Básico]
22;<Tarcísio Vanzin>;[Administração, Arquitetura e Urbanismo, Artes, Ciência da Computação, Ciência da Informação, Comunicação, Desenho Industrial, Educação, Engenharia de Produção, Matemática];[Adequação Ambiental, Administração da Produção, Coreografia, Design de Hipermídia, Design de Interface, Educação Especial, Ergonomia, Geometria, Hipermídia - Computação gráfica, Inteligência Artificial, Mídia e Conhecimento, Organização Editorial de Jornais, Planejamento e Projetos da Edificação, Processos da Comunicação, Software Básico, Tecnologia Educacional, Videodifusão, web semântica]
23;<Roberto Carlos dos Santos Pacheco>;[Administração, Ciência Política, Ciência da Computação, Ciência da Informação, Direito, Educação, Engenharia Biomédica, Engenharia Sanitária, Engenharia de Materiais e Metalúrgica, Engenharia de Produção, Oceanografia, Planejamento Urbano e Regional, Probabilidade e Estatística, Psicologia];[Administração Financeira, Administração de Recursos Humanos, Administração de Sistemas Educacionais, Administração de Unidades Educativas, Agentes Inteligentes, Análise de Dados, Aprendizagem Organizacional, Aprendizagem e Desempenho Acadêmicos, Arquitetura de Sistemas de Computação, Avaliação de Sistemas, Instituições, Planos e Programas Educacionais, Banco de Dados, Computação Evolucionária, Data Warehouse, Direito Civil, Direito Penal, Educação Especial, Engenharia de Software, Ensino a Distância, Estrutura Organizacional, Garantia de Controle de Qualidade, Gestão do Conhecimento, Higiene e Segurança do Trabalho, História, Teorias e Sistemas em Psicologia, Integração e Compartilhamento da Informação, Inteligência Artificial, Legislação Ambiental, Mercadologia, Metodologia de Engenharia do conhecimento, Mineração de Dados, Métodos e Técnicas de Ensino, Organizações Públicas, Organizações Virtuais, Origem das Massas de Água, Planejamento em Ciência e Tecnologia, Política e Planejamento Governamentais, Processamento de Sinais Biológicos, Raciocínio Baseado em Casos, Reconhecimento de Padrões, Redes Neuronais Artificiais, Regressão e Correlação, Relações Internacionais, Bilaterais e Multilaterais, Representação da Informação, Sistemas Difusos, Sistemas Especialistas, Sistemas Híbridos, Sistemas Operacionais, Sistemas de Informação, Tecnologia Educacional, Tecnologia de Informação, Teletrabalho, Teoria dos Grafos, Transporte e Tráfego Urbano e Regional, Tratamentos Térmicos, Mecânicos e Químicos, Técnica de Previsão Urbana e Regional]
24;<Carlos Becker Westphall>;[Ciência da Computação];[Administração e Gerência de Redes, Gerência de Redes de Computadores, Gerência de Redes de Telecomunicações, Teleinformática]
25;<Carla Merkle Westphall>;[Ciência da Computação];[Telecomunicações]
